Invoice_date,Prod_cat,Price,units_sold,Sales,Day,D/W,Oper_prof,sales_marg,Retailer,Region,State,City,Method,Invoice_ID,Retailer_ID
2020-07-18,Women's Apparel,68,290,19720,Sat,W,6902,35,Walmart,Northeast,New York,New York,Online,25264286,4443
2020-07-19,Men's Street Footwear,24,234,5616,Sun,W,2640,47,Sports Direct,Northeast,New York,New York,Online,56996092,3688
2020-07-20,Men's Athletic Footwear,34,225,7650,Mon,D,3749,49,Sports Direct,Northeast,New York,New York,Online,62859506,3688
2020-07-21,Women's Street Footwear,33,210,6930,Tue,D,3188,46,Sports Direct,Northeast,New York,New York,Online,66463035,3688
2020-07-22,Women's Athletic Footwear,34,175,5950,Wed,D,3273,55,Sports Direct,Northeast,New York,New York,Online,35249104,3688
2020-07-23,Men's Apparel,36,154,5544,Thu,D,2384,43,Sports Direct,South,Texas,Houston,Online,85992774,3688
2020-07-24,Women's Apparel,34,203,6902,Fri,D,4417,64,Sports Direct,South,Texas,Houston,Online,84765439,3688
2020-07-25,Men's Street Footwear,23,213,4899,Sat,W,2450,50,Sports Direct,South,Texas,Houston,Online,26668796,3688
2020-07-26,Men's Athletic Footwear,33,255,8415,Sun,W,3787,45,Sports Direct,South,Texas,Houston,Online,84956895,3688
2020-07-27,Women's Street Footwear,32,176,5632,Mon,D,2534,45,Sports Direct,South,Texas,Houston,Online,16395078,3688
2020-07-28,Women's Athletic Footwear,34,175,5950,Tue,D,3570,60,Sports Direct,South,Texas,Houston,Online,18593390,3688
2020-07-29,Men's Apparel,38,125,4750,Wed,D,2138,45,Sports Direct,South,Texas,Houston,Online,25288914,3688
2020-07-30,Women's Apparel,34,196,6664,Thu,D,4198,63,Sports Direct,South,Texas,Houston,Online,75196396,3688
2020-07-31,Men's Street Footwear,29,254,7366,Fri,D,3315,45,Sports Direct,South,Texas,Houston,Online,79163149,3688
2020-08-01,Men's Athletic Footwear,39,236,9204,Sat,W,4142,45,Sports Direct,South,Texas,Houston,Online,35209082,3688
2020-08-02,Women's Street Footwear,32,182,5824,Sun,W,2854,49,Sports Direct,South,Texas,Houston,Online,70192124,3688
2020-08-03,Women's Athletic Footwear,37,174,6438,Mon,D,3734,58,Sports Direct,South,Texas,Houston,Online,93631714,3688
2020-08-04,Men's Apparel,41,125,5125,Tue,D,2050,40,Sports Direct,South,Texas,Houston,Online,26338092,3688
2020-08-05,Women's Apparel,39,189,7371,Wed,D,4423,60,Sports Direct,South,Texas,Houston,Online,61054421,3688
2020-08-06,Men's Street Footwear,27,234,6318,Thu,D,3033,48,Sports Direct,South,Texas,Houston,Online,34725634,3688
2020-08-07,Men's Athletic Footwear,38,225,8550,Fri,D,3848,45,Sports Direct,South,Texas,Houston,Online,85828769,3688
2020-08-08,Women's Street Footwear,34,203,6902,Sat,W,3175,46,Sports Direct,South,Texas,Houston,Online,90712656,3688
2020-08-09,Women's Athletic Footwear,36,163,5868,Sun,W,3462,59,Sports Direct,South,Texas,Houston,Online,10821355,3688
2020-08-10,Men's Apparel,42,147,6174,Mon,D,2593,42,Walmart,South,Texas,Houston,Online,84254030,4443
2020-08-11,Women's Apparel,39,232,9048,Tue,D,5519,61,Walmart,South,Texas,Houston,Online,63816502,4443
2020-08-12,Men's Street Footwear,29,268,7772,Wed,D,3731,48,Walmart,South,Texas,Houston,Online,59865962,4443
2020-08-13,Men's Athletic Footwear,38,259,9842,Thu,D,4527,46,Walmart,South,Texas,Houston,Online,48545887,4443
2020-08-14,Women's Street Footwear,33,225,7425,Fri,D,3564,48,Walmart,South,Texas,Houston,Online,12450693,4443
2020-08-15,Women's Athletic Footwear,39,189,7371,Sat,W,4275,58,Walmart,South,Texas,Houston,Online,27916316,4443
2020-08-16,Men's Apparel,42,168,7056,Sun,W,2822,40,Walmart,South,Texas,Houston,Online,64878341,4443
2020-08-17,Women's Apparel,37,276,10212,Mon,D,6434,63,Walmart,South,Texas,Houston,Online,52619973,4443
2020-08-18,Men's Street Footwear,39,238,9282,Tue,D,4363,47,Walmart,South,Texas,Houston,Online,51664421,4443
2020-08-19,Men's Athletic Footwear,42,238,9996,Wed,D,4498,45,Walmart,South,Texas,Houston,Online,55860537,4443
2020-08-20,Women's Street Footwear,37,232,8584,Thu,D,4206,49,Walmart,South,Texas,Houston,Online,56824432,4443
2020-08-21,Women's Athletic Footwear,38,203,7714,Fri,D,4397,57,Walmart,South,Texas,Houston,Online,31395585,4443
2020-08-22,Men's Apparel,41,169,6929,Sat,W,3118,45,Walmart,South,Texas,Houston,Online,74735496,4443
2020-08-23,Women's Apparel,47,250,11750,Sun,W,7520,64,Walmart,South,Texas,Houston,Online,42523127,4443
2020-08-24,Men's Street Footwear,37,238,8806,Mon,D,3963,45,Walmart,South,Texas,Houston,Online,51490038,4443
2020-08-25,Men's Athletic Footwear,42,238,9996,Tue,D,4598,46,Walmart,South,Texas,Houston,Online,41014312,4443
2020-08-26,Women's Street Footwear,37,319,11803,Wed,D,5311,45,Walmart,South,Texas,Houston,Online,29620155,4443
2020-08-27,Women's Athletic Footwear,36,210,7560,Thu,D,4536,60,Walmart,South,Texas,Houston,Online,92982870,4443
2020-08-28,Men's Apparel,41,196,8036,Fri,D,3214,40,Walmart,South,Texas,Houston,Online,43323833,4443
2020-08-29,Women's Apparel,47,293,13771,Sat,W,8676,63,Walmart,South,Texas,Houston,Online,57474714,4443
2020-08-30,Men's Street Footwear,37,268,9916,Sun,W,4859,49,Walmart,South,Texas,Houston,Online,75037838,4443
2020-08-31,Men's Athletic Footwear,41,259,10619,Mon,D,4779,45,Walmart,South,Texas,Houston,Online,22985197,4443
2020-09-01,Women's Street Footwear,39,297,11583,Tue,D,5328,46,Walmart,South,Texas,Houston,Online,49600086,4443
2020-09-02,Women's Athletic Footwear,38,189,7182,Wed,D,4237,59,Walmart,South,Texas,Houston,Online,41281590,4443
2020-09-03,Men's Apparel,41,169,6929,Thu,D,2772,40,Walmart,South,Texas,Houston,Online,17813123,4443
2020-09-04,Women's Apparel,46,225,10350,Fri,D,6728,65,Walmart,South,Texas,Houston,Online,83502192,4443
2020-09-05,Men's Street Footwear,44,255,11220,Sat,W,5386,48,Walmart,South,Texas,Houston,Online,31797846,4443
2020-09-06,Men's Athletic Footwear,41,213,8733,Sun,W,4017,46,Walmart,South,Texas,Houston,Online,79460795,4443
2020-09-07,Women's Street Footwear,46,234,10764,Mon,D,5274,49,Walmart,South,Texas,Houston,Online,22440789,4443
2020-09-08,Women's Athletic Footwear,47,181,8507,Tue,D,4679,55,Walmart,South,Texas,Houston,Online,29458934,4443
2020-09-09,Men's Apparel,44,175,7700,Wed,D,3311,43,Walmart,South,Texas,Houston,Online,51911936,4443
2020-09-10,Women's Apparel,50,213,10650,Thu,D,6816,64,Walmart,South,Texas,Houston,Online,12871027,4443
2020-09-11,Men's Street Footwear,44,240,10560,Fri,D,5280,50,Walmart,South,Texas,Houston,Online,33353295,4443
2020-09-12,Men's Athletic Footwear,43,216,9288,Sat,W,4365,47,Walmart,South,Texas,Houston,Online,31270733,4443
2020-09-13,Women's Street Footwear,48,188,9024,Sun,W,4241,47,Walmart,South,Texas,Houston,Online,64301607,4443
2020-09-14,Women's Athletic Footwear,45,168,7560,Mon,D,4385,58,Walmart,South,Texas,Houston,Online,25538357,4443
2020-09-15,Men's Apparel,42,150,6300,Tue,D,2583,41,Walmart,South,Texas,Houston,Online,50534626,4443
2020-09-16,Women's Apparel,53,210,11130,Wed,D,6901,62,Walmart,South,Texas,Houston,Online,96898342,4443
2020-10-20,Men's Street Footwear,43,234,10062,Tue,D,4930,49,Walmart,South,Texas,Houston,Online,10590758,4443
2020-10-21,Men's Athletic Footwear,43,243,10449,Wed,D,5120,49,Walmart,South,Texas,Houston,Online,19550171,4443
2020-10-22,Women's Street Footwear,47,206,9682,Thu,D,4647,48,Walmart,South,Texas,Houston,Online,24236325,4443
2020-10-23,Women's Athletic Footwear,48,203,9744,Fri,D,5359,55,Walmart,South,Texas,Houston,Online,43736257,4443
2020-10-24,Men's Apparel,42,195,8190,Sat,W,3686,45,Walmart,South,Texas,Houston,Online,63887361,4443
2020-10-25,Women's Apparel,51,247,12597,Sun,W,7810,62,Walmart,South,Texas,Houston,Online,90816227,4443
2020-10-26,Men's Street Footwear,41,238,9758,Mon,D,4684,48,Walmart,South,Texas,Houston,Online,36160251,4443
2020-10-27,Men's Athletic Footwear,44,285,12540,Tue,D,6019,48,Walmart,South,Texas,Houston,Online,20671333,4443
2020-10-28,Women's Street Footwear,47,255,11985,Wed,D,5873,49,Walmart,South,Texas,Houston,Online,58398242,4443
2020-10-29,Women's Athletic Footwear,47,182,8554,Thu,D,4961,58,Walmart,South,Texas,Houston,Online,42025489,4443
2020-10-30,Men's Apparel,42,169,7098,Fri,D,3194,45,Walmart,South,Texas,Houston,Online,20835251,4443
2020-10-31,Women's Apparel,53,261,13833,Sat,W,8576,62,Walmart,South,Texas,Houston,Online,40833331,4443
2020-11-01,Men's Street Footwear,37,209,7733,Sun,W,3480,45,West Gear,South,Texas,Houston,Online,47663708,1807
2020-11-02,Men's Athletic Footwear,49,194,9506,Mon,D,2947,31,West Gear,South,Texas,Houston,Online,85174465,1807
2020-11-03,Women's Street Footwear,46,217,9982,Tue,D,4492,45,West Gear,South,Texas,Houston,Online,81833625,1807
2020-11-04,Women's Athletic Footwear,48,175,8400,Wed,D,3360,40,West Gear,South,Texas,Houston,Online,88385090,1807
2020-11-05,Men's Apparel,51,161,8211,Thu,D,5173,63,West Gear,West,California,San Francisco,Online,45494913,1807
2020-11-06,Women's Apparel,49,233,11417,Fri,D,2854,25,West Gear,West,California,San Francisco,Online,65834418,1807
2020-11-07,Men's Street Footwear,37,223,8251,Sat,W,4126,50,West Gear,West,California,San Francisco,Online,63663581,1807
2020-11-08,Men's Athletic Footwear,49,210,10290,Sun,W,3190,31,West Gear,West,California,San Francisco,Online,64646346,1807
2020-11-09,Women's Street Footwear,49,196,9604,Mon,D,4706,49,West Gear,West,California,San Francisco,Online,12171470,1807
2020-11-10,Women's Athletic Footwear,47,150,7050,Tue,D,2961,42,West Gear,West,California,San Francisco,Online,54413100,1807
2020-11-11,Men's Apparel,50,140,7000,Wed,D,4270,61,West Gear,West,California,San Francisco,Online,15010605,1807
2020-11-12,Women's Apparel,46,182,8372,Thu,D,2344,28,West Gear,West,California,San Francisco,Online,27261928,1807
2020-11-13,Men's Street Footwear,49,230,11270,Fri,D,5072,45,West Gear,West,California,San Francisco,Online,33343983,1807
2020-11-14,Men's Athletic Footwear,58,175,10150,Sat,W,3045,30,West Gear,West,California,San Francisco,Online,94866857,1807
2020-11-15,Women's Street Footwear,55,203,11165,Sun,W,5248,47,West Gear,West,California,San Francisco,Online,35543351,1807
2020-12-22,Women's Athletic Footwear,58,174,10092,Tue,D,4340,43,West Gear,West,California,San Francisco,Online,23091363,1807
2020-12-23,Men's Apparel,62,145,8990,Wed,D,5664,63,West Gear,West,California,San Francisco,Online,81936627,1807
2020-12-24,Women's Apparel,54,210,11340,Thu,D,3062,27,West Gear,West,California,San Francisco,Online,95249141,1807
2020-12-25,Men's Street Footwear,56,228,12768,Fri,D,6001,47,West Gear,West,California,San Francisco,Online,50077181,1807
2020-12-26,Men's Athletic Footwear,62,203,12586,Sat,W,3776,30,West Gear,West,California,San Francisco,Online,21184912,1807
2020-12-27,Women's Street Footwear,64,210,13440,Sun,W,6720,50,West Gear,West,California,San Francisco,Online,66895948,1807
2020-12-28,Women's Athletic Footwear,54,188,10152,Mon,D,4162,41,West Gear,West,California,San Francisco,Online,73025225,1807
2020-12-29,Men's Apparel,59,152,8968,Tue,D,5829,65,West Gear,West,California,San Francisco,Online,49046078,1807
2020-12-30,Women's Apparel,72,203,14616,Wed,D,3946,27,West Gear,West,California,San Francisco,Online,34092613,1807
2020-12-31,Men's Street Footwear,56,252,14112,Thu,D,7056,50,West Gear,West,California,San Francisco,Online,91564033,1807
2021-01-01,Men's Athletic Footwear,64,225,14400,Fri,D,5184,36,West Gear,West,California,San Francisco,Online,80446522,1807
2021-01-02,Women's Street Footwear,60,218,13080,Sat,W,6671,51,West Gear,West,California,San Francisco,Online,77638970,1807
2021-01-03,Women's Athletic Footwear,56,182,10192,Sun,W,4586,45,West Gear,West,California,San Francisco,Online,69888999,1807
2021-01-04,Men's Apparel,60,154,9240,Mon,D,6098,66,West Gear,West,California,San Francisco,Online,42128106,1807
2021-01-05,Women's Apparel,72,189,13608,Tue,D,4491,33,West Gear,West,California,San Francisco,Online,85532465,1807
2021-01-06,Men's Street Footwear,56,273,15288,Wed,D,7644,50,West Gear,West,California,San Francisco,Online,88502713,1807
2021-01-07,Men's Athletic Footwear,63,248,15624,Thu,D,5781,37,West Gear,West,California,San Francisco,Online,27955375,1807
2021-01-08,Women's Street Footwear,64,206,13184,Fri,D,7251,55,West Gear,West,California,San Francisco,Online,72568983,1807
2021-01-09,Women's Athletic Footwear,59,210,12390,Sat,W,6071,49,West Gear,West,California,San Francisco,Online,93525744,1807
2021-01-10,Men's Apparel,62,155,9610,Sun,W,6343,66,West Gear,West,California,San Francisco,Online,74795162,1807
2021-01-11,Women's Apparel,72,219,15768,Mon,D,5519,35,West Gear,West,California,San Francisco,Online,82483625,1807
2021-01-12,Men's Street Footwear,56,277,15512,Tue,D,6980,45,West Gear,West,California,San Francisco,Online,90369243,1807
2021-01-13,Men's Athletic Footwear,59,245,14455,Wed,D,4915,34,West Gear,West,California,San Francisco,Online,59716166,1807
2021-01-14,Women's Street Footwear,62,248,15376,Thu,D,7073,46,West Gear,West,California,San Francisco,Online,21391321,1807
2021-01-15,Women's Athletic Footwear,55,218,11990,Fri,D,4796,40,West Gear,West,California,San Francisco,Online,94987453,1807
2021-01-16,Men's Apparel,64,233,14912,Sat,W,9544,64,West Gear,West,California,San Francisco,Online,50940799,1807
2021-01-17,Women's Apparel,72,233,16776,Sun,W,4865,29,West Gear,West,California,San Francisco,Online,36046958,1807
2021-01-18,Men's Street Footwear,62,273,16926,Mon,D,7786,46,West Gear,West,California,San Francisco,Online,96210420,1807
2021-01-19,Men's Athletic Footwear,66,259,17094,Tue,D,5128,30,West Gear,West,California,San Francisco,Online,92976782,1807
2021-01-20,Women's Street Footwear,60,200,12000,Wed,D,5640,47,West Gear,West,California,San Francisco,Online,43625687,1807
2021-01-21,Women's Athletic Footwear,59,188,11092,Thu,D,4548,41,West Gear,West,California,San Francisco,Online,66043352,1807
2021-01-22,Men's Apparel,69,188,12972,Fri,D,7913,61,West Gear,West,California,San Francisco,Online,46621609,1807
2021-01-23,Women's Apparel,76,181,13756,Sat,W,3439,25,West Gear,West,California,San Francisco,Online,30547748,1807
2021-01-24,Men's Street Footwear,51,241,12291,Sun,W,5162,42,West Gear,West,California,San Francisco,Online,72022852,1807
2021-01-25,Men's Athletic Footwear,56,268,15008,Mon,D,4202,28,West Gear,West,California,San Francisco,Online,81262486,1807
2021-01-26,Women's Street Footwear,52,225,11700,Tue,D,4680,40,West Gear,West,California,San Francisco,Online,18615102,1807
2021-01-27,Women's Athletic Footwear,53,203,10759,Wed,D,3766,35,West Gear,West,California,San Francisco,Online,24603314,1807
2021-01-28,Men's Apparel,63,218,13734,Thu,D,7966,58,West Gear,West,California,San Francisco,Online,63928226,1807
2021-01-29,Women's Apparel,65,217,14105,Fri,D,3385,24,West Gear,West,California,San Francisco,Online,76008897,1807
2021-01-30,Men's Street Footwear,51,236,12036,Sat,W,5416,45,West Gear,West,California,San Francisco,Online,57970147,1807
2021-01-31,Men's Athletic Footwear,59,219,12921,Sun,W,3747,29,West Gear,West,California,San Francisco,Online,54518471,1807
2021-02-01,Women's Street Footwear,50,182,9100,Mon,D,3822,42,West Gear,West,California,San Francisco,Online,95346980,1807
2021-02-02,Women's Athletic Footwear,51,203,10353,Tue,D,3727,36,West Gear,West,California,San Francisco,Online,41920508,1807
2021-02-03,Men's Apparel,59,182,10738,Wed,D,6228,58,West Gear,West,California,San Francisco,Online,78289748,1807
2021-02-04,Women's Apparel,63,196,12348,Thu,D,2840,23,West Gear,West,California,San Francisco,Online,96645790,1807
2021-02-05,Men's Street Footwear,52,263,13676,Fri,D,6017,44,West Gear,West,California,San Francisco,Online,29548223,1807
2021-02-06,Men's Athletic Footwear,58,236,13688,Sat,W,3422,25,West Gear,West,California,San Francisco,Online,88530187,1807
2021-02-07,Women's Street Footwear,50,210,10500,Sun,W,4200,40,West Gear,West,California,San Francisco,Online,70307920,1807
2021-02-08,Women's Athletic Footwear,53,210,11130,Mon,D,4452,40,West Gear,West,California,San Francisco,Online,86552766,1807
2021-02-09,Men's Apparel,63,163,10269,Tue,D,5853,57,West Gear,West,California,San Francisco,Online,38486314,1807
2021-02-10,Women's Apparel,67,202,13534,Wed,D,2842,21,West Gear,West,California,San Francisco,Online,63130933,1807
2021-02-11,Men's Street Footwear,51,293,14943,Thu,D,5977,40,West Gear,West,California,San Francisco,Online,96047114,1807
2021-02-12,Men's Athletic Footwear,58,273,15834,Fri,D,4275,27,West Gear,West,California,San Francisco,Online,65779606,1807
2021-02-13,Women's Street Footwear,52,233,12116,Sat,W,4846,40,West Gear,West,California,San Francisco,Online,19603159,1807
2021-02-14,Women's Athletic Footwear,51,194,9894,Sun,W,3958,40,West Gear,West,California,San Francisco,Online,45460729,1807
2021-02-15,Men's Apparel,59,175,10325,Mon,D,6195,60,West Gear,West,California,San Francisco,Online,90853065,1807
2021-02-16,Women's Apparel,67,208,13936,Tue,D,3205,23,West Gear,West,California,San Francisco,Online,45323968,1807
2021-02-17,Men's Street Footwear,32,203,6496,Wed,D,3313,51,Kohl's,West,California,San Francisco,Online,41977579,8232
2021-02-18,Men's Athletic Footwear,41,196,8036,Thu,D,2893,36,Kohl's,West,California,San Francisco,Online,65105116,8232
2021-03-09,Women's Street Footwear,41,189,7749,Tue,D,4029,52,Kohl's,West,California,San Francisco,Online,70049253,8232
2021-03-10,Women's Athletic Footwear,41,160,6560,Wed,D,3214,49,Kohl's,West,California,San Francisco,Online,61754691,8232
2021-03-11,Men's Apparel,49,145,7105,Thu,D,4689,66,Kohl's,West,California,Los Angeles,Online,23155244,8232
2021-03-12,Women's Apparel,41,182,7462,Fri,D,2313,31,Kohl's,West,California,Los Angeles,Online,64273709,8232
2021-03-13,Men's Street Footwear,34,225,7650,Sat,W,4055,53,Kohl's,West,California,Los Angeles,Online,89072980,8232
2021-03-14,Men's Athletic Footwear,43,195,8385,Sun,W,3354,40,Kohl's,West,California,Los Angeles,Online,19400700,8232
2021-03-15,Women's Street Footwear,44,169,7436,Mon,D,3718,50,Kohl's,West,California,Los Angeles,Online,14926623,8232
2021-03-16,Women's Athletic Footwear,41,152,6232,Tue,D,3054,49,Kohl's,West,California,Los Angeles,Online,78311796,8232
2021-03-17,Men's Apparel,46,113,5198,Wed,D,3535,68,Kohl's,West,California,Los Angeles,Online,76339242,8232
2021-03-18,Women's Apparel,41,176,7216,Thu,D,2165,30,Kohl's,West,California,Los Angeles,Online,73004441,8232
2021-03-19,Men's Street Footwear,32,216,6912,Fri,D,3456,50,Kohl's,West,California,Los Angeles,Online,57155455,8232
2021-03-20,Men's Athletic Footwear,41,195,7995,Sat,W,2798,35,Kohl's,West,California,Los Angeles,Online,27551015,8232
